Date,City,Team1,Team2,Venue,Winner
2020-11-08,Abu Dhabi,Delhi Capitals,Sunrisers Hyderabad,Sheikh Zayed Stadium,Delhi Capitals
2020-11-10,,Delhi Capitals,Mumbai Indians,Dubai International Cricket Stadium,Mumbai Indians
2021-04-09,Chennai,Mumbai Indians,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore
2021-04-10,Mumbai,Chennai Super Kings,Delhi Capitals,"Wankhede Stadium, Mumbai",Delhi Capitals
2021-04-11,Chennai,Kolkata Knight Riders,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders
2021-04-12,Mumbai,Punjab Kings,Rajasthan Royals,"Wankhede Stadium, Mumbai",Punjab Kings
2021-04-13,Chennai,Mumbai Indians,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians
2021-04-14,Chennai,Royal Challengers Bangalore,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore
2021-04-15,Mumbai,Delhi Capitals,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals
2021-04-16,Mumbai,Punjab Kings,Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings
2021-04-17,Chennai,Mumbai Indians,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians
2021-04-18,Chennai,Royal Challengers Bangalore,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore
2021-04-18,Mumbai,Punjab Kings,Delhi Capitals,"Wankhede Stadium, Mumbai",Delhi Capitals
2021-04-19,Mumbai,Chennai Super Kings,Rajasthan Royals,"Wankhede Stadium, Mumbai",Chennai Super Kings
2021-04-20,Chennai,Mumbai Indians,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",Delhi Capitals
2021-04-21,Chennai,Punjab Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad
2021-04-21,Mumbai,Chennai Super Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Chennai Super Kings
2021-04-22,Mumbai,Rajasthan Royals,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore
2021-04-23,Chennai,Mumbai Indians,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Punjab Kings
2021-04-24,Mumbai,Kolkata Knight Riders,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals
2021-04-25,Mumbai,Chennai Super Kings,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Chennai Super Kings
2021-04-25,Chennai,Delhi Capitals,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",No Result
2021-04-26,Ahmedabad,Punjab Kings,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders
2021-04-27,Ahmedabad,Royal Challengers Bangalore,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bangalore
2021-04-28,Delhi,Sunrisers Hyderabad,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Chennai Super Kings
2021-04-29,Delhi,Rajasthan Royals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Mumbai Indians
2021-04-29,Ahmedabad,Kolkata Knight Riders,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals
2021-04-30,Ahmedabad,Punjab Kings,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",Punjab Kings
2021-05-01,Delhi,Chennai Super Kings,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Mumbai Indians
2021-05-02,Delhi,Rajasthan Royals,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",Rajasthan Royals
2021-05-02,Ahmedabad,Punjab Kings,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals
2021-09-20,Abu Dhabi,Royal Challengers Bangalore,Kolkata Knight Riders,"Zayed Cricket Stadium, Abu Dhabi",Kolkata Knight Riders
2021-10-08,Abu Dhabi,Mumbai Indians,Sunrisers Hyderabad,"Zayed Cricket Stadium, Abu Dhabi",Mumbai Indians
2021-10-02,Abu Dhabi,Chennai Super Kings,Rajasthan Royals,"Zayed Cricket Stadium, Abu Dhabi",Rajasthan Royals
2021-10-03,Sharjah,Royal Challengers Bangalore,Punjab Kings,Sharjah Cricket Stadium,Royal Challengers Bangalore
2021-09-30,Sharjah,Sunrisers Hyderabad,Chennai Super Kings,Sharjah Cricket Stadium,Chennai Super Kings
2021-09-28,Sharjah,Delhi Capitals,Kolkata Knight Riders,Sharjah Cricket Stadium,Kolkata Knight Riders
2021-10-05,Sharjah,Rajasthan Royals,Mumbai Indians,Sharjah Cricket Stadium,Mumbai Indians
2021-10-07,Dubai,Chennai Super Kings,Punjab Kings,Dubai International Cricket Stadium,Punjab Kings
2021-10-06,Abu Dhabi,Sunrisers Hyderabad,Royal Challengers Bangalore,"Zayed Cricket Stadium, Abu Dhabi",Sunrisers Hyderabad
2021-09-23,Abu Dhabi,Mumbai Indians,Kolkata Knight Riders,"Zayed Cricket Stadium, Abu Dhabi",Kolkata Knight Riders
2021-09-25,Abu Dhabi,Delhi Capitals,Rajasthan Royals,"Zayed Cricket Stadium, Abu Dhabi",Delhi Capitals
2021-09-26,Abu Dhabi,Kolkata Knight Riders,Chennai Super Kings,"Zayed Cricket Stadium, Abu Dhabi",Chennai Super Kings
2021-09-28,Abu Dhabi,Punjab Kings,Mumbai Indians,"Zayed Cricket Stadium, Abu Dhabi",Mumbai Indians
2021-09-27,Dubai,Rajasthan Royals,Sunrisers Hyderabad,Dubai International Cricket Stadium,Sunrisers Hyderabad
2021-10-08,Dubai,Delhi Capitals,Royal Challengers Bangalore,Dubai International Cricket Stadium,Royal Challengers Bangalore
2021-10-01,Dubai,Kolkata Knight Riders,Punjab Kings,Dubai International Cricket Stadium,Punjab Kings
2021-09-29,Dubai,Rajasthan Royals,Royal Challengers Bangalore,Dubai International Cricket Stadium,Royal Challengers Bangalore
2021-09-19,Dubai,Chennai Super Kings,Mumbai Indians,Dubai International Cricket Stadium,Chennai Super Kings
2021-09-22,Dubai,Sunrisers Hyderabad,Delhi Capitals,Dubai International Cricket Stadium,Delhi Capitals
2021-10-07,Sharjah,Kolkata Knight Riders,Rajasthan Royals,Sharjah Cricket Stadium,Kolkata Knight Riders
2021-09-25,Sharjah,Punjab Kings,Sunrisers Hyderabad,Sharjah Cricket Stadium,Punjab Kings
2021-09-26,Dubai,Royal Challengers Bangalore,Mumbai Indians,Dubai International Cricket Stadium,Royal Challengers Bangalore
2021-10-03,Dubai,Sunrisers Hyderabad,Kolkata Knight Riders,Dubai International Cricket Stadium,Kolkata Knight Riders
2021-10-04,Dubai,Chennai Super Kings,Delhi Capitals,Dubai International Cricket Stadium,Delhi Capitals
2021-09-21,Dubai,Rajasthan Royals,Punjab Kings,Dubai International Cricket Stadium,Rajasthan Royals
2021-10-02,Sharjah,Mumbai Indians,Delhi Capitals,Sharjah Cricket Stadium,Delhi Capitals
2021-09-24,Sharjah,Royal Challengers Bangalore,Chennai Super Kings,Sharjah Cricket Stadium,Chennai Super Kings
2021-10-10,Dubai,Delhi Capitals,Chennai Super Kings,Dubai International Cricket Stadium,Chennai Super Kings
2021-10-11,Sharjah,Royal Challengers Bangalore,Kolkata Knight Riders,Sharjah Cricket Stadium,Kolkata Knight Riders
2021-10-13,Sharjah,Delhi Capitals,Kolkata Knight Riders,Sharjah Cricket Stadium,Kolkata Knight Riders
2021-10-15,Dubai,Chennai Super Kings,Kolkata Knight Riders,Dubai International Cricket Stadium,Chennai Super Kings
2022-03-26,Mumbai,Chennai Super Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Kolkata Knight Riders
2022-03-27,Mumbai,Mumbai Indians,Delhi Capitals,"Brabourne Stadium, Mumbai",Delhi Capitals
2022-03-27,Mumbai,Royal Challengers Bangalore,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings
2022-03-28,Mumbai,Lucknow Super Giants,Gujarat Titans,"Wankhede Stadium, Mumbai",Gujarat Titans
2022-03-29,Pune,Rajasthan Royals,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Rajasthan Royals
2022-03-30,Mumbai,Kolkata Knight Riders,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore
2022-03-31,Mumbai,Chennai Super Kings,Lucknow Super Giants,"Brabourne Stadium, Mumbai",Lucknow Super Giants
2022-04-01,Mumbai,Punjab Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Kolkata Knight Riders
2022-04-02,Mumbai,Rajasthan Royals,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Rajasthan Royals
2022-04-02,Pune,Gujarat Titans,Delhi Capitals,"Maharashtra Cricket Association Stadium, Pune",Gujarat Titans
2022-04-03,Mumbai,Punjab Kings,Chennai Super Kings,"Brabourne Stadium, Mumbai",Punjab Kings
2022-04-04,Mumbai,Lucknow Super Giants,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants
2022-04-05,Mumbai,Rajasthan Royals,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore
2022-04-06,Pune,Mumbai Indians,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders
2022-04-07,Mumbai,Delhi Capitals,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants
2022-04-08,Mumbai,Punjab Kings,Gujarat Titans,"Brabourne Stadium, Mumbai",Gujarat Titans
2022-04-09,Mumbai,Chennai Super Kings,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Sunrisers Hyderabad
2022-04-09,Pune,Mumbai Indians,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore
2022-04-10,Mumbai,Delhi Capitals,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Delhi Capitals
2022-04-10,Mumbai,Rajasthan Royals,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Rajasthan Royals
2022-04-11,Mumbai,Gujarat Titans,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Sunrisers Hyderabad
2022-04-12,Mumbai,Chennai Super Kings,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings
2022-04-13,Pune,Punjab Kings,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",Punjab Kings
2022-04-14,Mumbai,Gujarat Titans,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans
2022-04-15,Mumbai,Kolkata Knight Riders,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Sunrisers Hyderabad
2022-04-16,Mumbai,Lucknow Super Giants,Mumbai Indians,"Brabourne Stadium, Mumbai",Lucknow Super Giants
2022-04-16,Mumbai,Royal Challengers Bangalore,Delhi Capitals,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore
2022-04-17,Mumbai,Punjab Kings,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Sunrisers Hyderabad
2022-04-17,Pune,Chennai Super Kings,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",Gujarat Titans
2022-04-18,Mumbai,Rajasthan Royals,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Rajasthan Royals
2022-04-19,Mumbai,Royal Challengers Bangalore,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore
2022-04-20,Mumbai,Punjab Kings,Delhi Capitals,"Brabourne Stadium, Mumbai",Delhi Capitals
2022-04-21,Navi Mumbai,Mumbai Indians,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings
2022-04-22,Mumbai,Rajasthan Royals,Delhi Capitals,"Wankhede Stadium, Mumbai",Rajasthan Royals
2022-04-23,Navi Mumbai,Gujarat Titans,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans
2022-04-23,Mumbai,Royal Challengers Bangalore,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Sunrisers Hyderabad
2022-04-24,Mumbai,Lucknow Super Giants,Mumbai Indians,"Wankhede Stadium, Mumbai",Lucknow Super Giants
2022-04-25,Mumbai,Punjab Kings,Chennai Super Kings,"Wankhede Stadium, Mumbai",Punjab Kings
2022-04-26,Pune,Rajasthan Royals,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",Rajasthan Royals
2022-04-27,Mumbai,Sunrisers Hyderabad,Gujarat Titans,"Wankhede Stadium, Mumbai",Gujarat Titans
2022-04-28,Mumbai,Kolkata Knight Riders,Delhi Capitals,"Wankhede Stadium, Mumbai",Delhi Capitals
2022-04-29,Pune,Lucknow Super Giants,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",Lucknow Super Giants
2022-04-30,Mumbai,Royal Challengers Bangalore,Gujarat Titans,"Brabourne Stadium, Mumbai",Gujarat Titans
2022-04-30,Navi Mumbai,Rajasthan Royals,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians
2022-05-01,Mumbai,Lucknow Super Giants,Delhi Capitals,"Wankhede Stadium, Mumbai",Lucknow Super Giants
2022-05-01,Pune,Chennai Super Kings,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings
2022-05-02,Mumbai,Rajasthan Royals,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Kolkata Knight Riders
2022-05-03,Navi Mumbai,Gujarat Titans,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings
2022-05-04,Pune,Royal Challengers Bangalore,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore
2022-05-05,Mumbai,Delhi Capitals,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Delhi Capitals
2022-05-06,Mumbai,Mumbai Indians,Gujarat Titans,"Brabourne Stadium, Mumbai",Mumbai Indians
2022-05-07,Mumbai,Punjab Kings,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals
2022-05-07,Pune,Lucknow Super Giants,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Lucknow Super Giants
2022-05-08,Mumbai,Royal Challengers Bangalore,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore
2022-05-08,Navi Mumbai,Chennai Super Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings
2022-05-09,Navi Mumbai,Kolkata Knight Riders,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Kolkata Knight Riders
2022-05-10,Pune,Gujarat Titans,Lucknow Super Giants,"Maharashtra Cricket Association Stadium, Pune",Gujarat Titans
2022-05-11,Navi Mumbai,Rajasthan Royals,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals
2022-05-12,Mumbai,Chennai Super Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians
2022-05-13,Mumbai,Punjab Kings,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",Punjab Kings
2022-05-14,Pune,Kolkata Knight Riders,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders
2022-05-15,Mumbai,Chennai Super Kings,Gujarat Titans,"Wankhede Stadium, Mumbai",Gujarat Titans
2022-05-15,Mumbai,Rajasthan Royals,Lucknow Super Giants,"Brabourne Stadium, Mumbai",Rajasthan Royals
2022-05-16,Navi Mumbai,Delhi Capitals,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals
2022-05-17,Mumbai,Sunrisers Hyderabad,Mumbai Indians,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad
2022-05-18,Navi Mumbai,Lucknow Super Giants,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants
2022-05-19,Mumbai,Gujarat Titans,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore
2022-05-20,Mumbai,Chennai Super Kings,Rajasthan Royals,"Brabourne Stadium, Mumbai",Rajasthan Royals
2022-05-21,Mumbai,Delhi Capitals,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians
2022-05-22,Mumbai,Sunrisers Hyderabad,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings
2022-05-24,Kolkata,Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata",Gujarat Titans
2022-05-25,Kolkata,Royal Challengers Bangalore,Lucknow Super Giants,"Eden Gardens, Kolkata",Royal Challengers Bangalore
2022-05-27,Ahmedabad,Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals
2022-05-29,Ahmedabad,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans
2023-03-31,Ahmedabad,Chennai Super Kings,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans
2023-04-01,Chandigarh,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings
2023-04-01,Lucknow,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants
2023-04-02,Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals
2023-04-02,Bengaluru,Mumbai Indians,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore
2023-04-03,Chennai,Chennai Super Kings,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings
2023-04-04,Delhi,Delhi Capitals,Gujarat Titans,"Arun Jaitley Stadium, Delhi",Gujarat Titans
2023-04-05,Guwahati,Punjab Kings,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",Punjab Kings
2023-04-06,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,"Eden Gardens, Kolkata",Kolkata Knight Riders
2023-04-07,Lucknow,Sunrisers Hyderabad,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants
2023-04-08,Guwahati,Rajasthan Royals,Delhi Capitals,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals
2023-04-08,Mumbai,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings
2023-04-09,Ahmedabad,Gujarat Titans,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders
2023-04-09,Hyderabad,Punjab Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad
2023-04-10,Bengaluru,Royal Challengers Bangalore,Lucknow Super Giants,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants
2023-04-11,Delhi,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Mumbai Indians
2023-04-12,Chennai,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Rajasthan Royals
2023-04-13,Chandigarh,Punjab Kings,Gujarat Titans,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Gujarat Titans
2023-04-14,Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,"Eden Gardens, Kolkata",Sunrisers Hyderabad
2023-04-15,Bengaluru,Royal Challengers Bangalore,Delhi Capitals,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore
2023-04-15,Lucknow,Lucknow Super Giants,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Punjab Kings
2023-04-16,Mumbai,Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians
2023-04-16,Ahmedabad,Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals
2023-04-17,Bengaluru,Chennai Super Kings,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",Chennai Super Kings
2023-04-18,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mumbai Indians
2023-04-19,Jaipur,Lucknow Super Giants,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Lucknow Super Giants
2023-04-20,Chandigarh,Royal Challengers Bangalore,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Royal Challengers Bangalore
2023-04-20,Delhi,Kolkata Knight Riders,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals
2023-04-21,Chennai,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings
2023-04-22,Lucknow,Gujarat Titans,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Gujarat Titans
2023-04-22,Mumbai,Punjab Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",Punjab Kings
2023-04-23,Bengaluru,Royal Challengers Bangalore,Rajasthan Royals,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore
2023-04-23,Kolkata,Chennai Super Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Chennai Super Kings
2023-04-24,Hyderabad,Delhi Capitals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Delhi Capitals
2023-04-25,Ahmedabad,Gujarat Titans,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans
2023-04-26,Bengaluru,Kolkata Knight Riders,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders
2023-04-27,Jaipur,Rajasthan Royals,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals
2023-04-28,Chandigarh,Lucknow Super Giants,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Lucknow Super Giants
2023-04-29,Kolkata,Kolkata Knight Riders,Gujarat Titans,"Eden Gardens, Kolkata",Gujarat Titans
2023-04-29,Delhi,Sunrisers Hyderabad,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad
2023-04-30,Chennai,Chennai Super Kings,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Punjab Kings
2023-04-30,Mumbai,Rajasthan Royals,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians
2023-05-01,Lucknow,Royal Challengers Bangalore,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Royal Challengers Bangalore
2023-05-02,Ahmedabad,Delhi Capitals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals
2023-05-03,Lucknow,Lucknow Super Giants,Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",No Result
2023-05-03,Chandigarh,Punjab Kings,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians
2023-05-04,Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kolkata Knight Riders
2023-05-05,Jaipur,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",Gujarat Titans
2023-05-06,Chennai,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings
2023-05-06,Delhi,Royal Challengers Bangalore,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals
2023-05-07,Ahmedabad,Gujarat Titans,Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans
2023-05-07,Jaipur,Rajasthan Royals,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad
2023-05-08,Kolkata,Punjab Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders
2023-05-09,Mumbai,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians
2023-05-10,Chennai,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings
2023-05-11,Kolkata,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals
2023-05-12,Mumbai,Mumbai Indians,Gujarat Titans,"Wankhede Stadium, Mumbai",Mumbai Indians
2023-05-13,Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Lucknow Super Giants
2023-05-13,Delhi,Punjab Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Punjab Kings
2023-05-14,Jaipur,Royal Challengers Bangalore,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore
2023-05-14,Chennai,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders
2023-05-15,Ahmedabad,Gujarat Titans,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans
2023-05-16,Lucknow,Lucknow Super Giants,Mumbai Indians,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants
2023-05-17,Dharamsala,Delhi Capitals,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Delhi Capitals
2023-05-18,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Royal Challengers Bangalore
2023-05-19,Dharamsala,Punjab Kings,Rajasthan Royals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Rajasthan Royals
2023-05-20,Delhi,Chennai Super Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Chennai Super Kings
2023-05-20,Kolkata,Lucknow Super Giants,Kolkata Knight Riders,"Eden Gardens, Kolkata",Lucknow Super Giants
2023-05-21,Mumbai,Sunrisers Hyderabad,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians
2023-05-21,Bengaluru,Royal Challengers Bangalore,Gujarat Titans,"M Chinnaswamy Stadium, Bengaluru",Gujarat Titans
2023-05-23,Chennai,Chennai Super Kings,Gujarat Titans,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings
2023-05-24,Chennai,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians
2023-05-26,Ahmedabad,Gujarat Titans,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans
2023-05-29,Ahmedabad,Gujarat Titans,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",Chennai Super Kings
2024-03-22,Chennai,Royal Challengers Bengaluru,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings
2024-03-23,Mohali,Delhi Capitals,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Punjab Kings
2024-03-23,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders
2024-03-24,Jaipur,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals
